RecordID_Int,ParcelNumber,SaleDate,SaleAmount,BookPage
26944,370081200,1978-09-21T00:00:00.000Z,72750,0:0
26945,370081400,2011-06-14T00:00:00.000Z,235000,2011:2091
26946,370081400,1980-04-29T00:00:00.000Z,82500,0:0
26947,370081400,1989-11-06T00:00:00.000Z,117000,536:4
26948,370081400,2017-11-01T00:00:00.000Z,0,2017:4249
26949,370082000,1995-01-24T00:00:00.000Z,0,646:181
26950,370082000,1995-09-22T00:00:00.000Z,0,659:408
26951,370083000,2012-03-20T00:00:00.000Z,0,2012:1102
26952,370083000,2007-09-25T00:00:00.000Z,0,1161:27
26953,370083000,2003-10-23T00:00:00.000Z,65500,942:196
26954,370083000,1980-09-09T00:00:00.000Z,0,WB24:538
26955,370083000,1955-03-29T00:00:00.000Z,7750,0:0
26956,370083000,2015-08-12T00:00:00.000Z,260000,2015:2972
26957,370083A00,2004-05-21T00:00:00.000Z,340000,975:932
26958,370083A00,2003-10-20T00:00:00.000Z,330000,941:546
26959,370083A10,1900-01-01T00:00:00.000Z,0,0:0
26960,370083B00,2004-05-21T00:00:00.000Z,340000,975:932
26961,370083B00,2003-10-20T00:00:00.000Z,330000,941:546
26962,370083C00,1900-01-01T00:00:00.000Z,0,0:0
26963,370083D00,2010-09-14T00:00:00.000Z,497230,2010:3407
26964,370084000,1969-12-01T00:00:00.000Z,5500,313:192
26965,370084000,2005-11-07T00:00:00.000Z,200000,1055:58
26966,370085000,2009-01-26T00:00:00.000Z,0,2009:241
26967,370085000,1996-04-02T00:00:00.000Z,0,191:376
26968,370085000,2000-08-24T00:00:00.000Z,270000,789:138
26969,370085000,1956-05-01T00:00:00.000Z,32500,0:0
26970,370085100,2009-11-04T00:00:00.000Z,0,2009:4892
26971,370085100,2002-07-30T00:00:00.000Z,230000,862:804
26972,370085100,2000-05-22T00:00:00.000Z,146000,781:299
26973,370085100,2004-03-04T00:00:00.000Z,0,962:138
26974,370085100,1992-06-26T00:00:00.000Z,111000,583:150
26975,370085100,1989-06-01T00:00:00.000Z,87500,0:0
