geo_name,geo_sumlevel,geo_id,income_2013,income_2014,income_2015,income_2016,median_property_value_2013,median_property_value_2014,median_property_value_2015,median_property_value_2016
"West Odessa, TX","place",16000US4877728,51443,50938,51275,51792,62400,68800,74700,79600
"Weston, TX","place",16000US4877740,70714,63594,69375,69107,194100,205700,226300,204800
"Weston Lakes, TX","place",16000US4877746,150417,155667,148516,152574,396700,390500,392400,420400
"West Orange, TX","place",16000US4877752,38805,42065,40801,46059,64600,71200,72800,72300
"Westover Hills, TX","place",16000US4877788,205833,196250,211250,165625,1000000,1000000,1097500,1157100
"West Sharyland, TX","place",16000US4877866,23139,18299,23665,26776,86900,85800,86500,84600
"West Tawakoni, TX","place",16000US4877896,34708,37250,33657,33603,57500,57400,55000,56000
"West University Place, TX","place",16000US4877956,205136,207429,200625,220868,781300,815700,859700,917800
"Westway, TX","place",16000US4878016,21192,22295,25930,27473,54600,56400,66400,70200
"Westwood Shores, TX","place",16000US4878040,30598,36042,40156,45132,112500,102700,105100,111400
"Westworth Village, TX","place",16000US4878076,48036,53519,53250,54917,91100,101400,101700,106200
"Wharton, TX","place",16000US4878136,26944,27855,29797,32243,80000,76000,73100,78900
"Wheeler, TX","place",16000US4878208,53839,59861,55375,50976,76600,89400,89300,79600
"White Deer, TX","place",16000US4878316,70714,64185,66250,66719,76800,77300,81800,88400
"Whiteface, TX","place",16000US4878328,41591,43021,42500,46250,29800,32300,25300,25000
"Whitehouse, TX","place",16000US4878388,70669,71250,69957,64196,138100,151900,152100,153600
"White Oak, TX","place",16000US4878436,58028,57202,56237,55270,141200,133900,136700,140300
"Whitesboro, TX","place",16000US4878532,35000,39261,37582,47321,80600,85200,97900,99200
"White Settlement, TX","place",16000US4878544,38244,39747,39333,45382,73900,73500,75000,73700
"Whitewright, TX","place",16000US4878628,40042,41758,35938,39063,68300,72800,75600,79800
"Whitney, TX","place",16000US4878664,36831,41719,38625,36755,84400,79200,73700,72800
"Wichita Falls, TX","place",16000US4879000,44028,43751,44543,43997,91900,92000,92600,94300
"Wickett, TX","place",16000US4879036,28750,31250,52083,51071,24400,32500,41400,44500
"Wild Peach Village, TX","place",16000US4879192,52461,50951,50981,51779,97600,91200,102000,117000
"Wildwood, TX","place",16000US4879204,73684,59591,59583,59206,150800,158500,163300,164700
"Willis, TX","place",16000US4879408,26608,36069,36640,37967,67700,63100,70300,71800
"Willow Park, TX","place",16000US4879492,103346,85541,86912,94405,187500,202700,205600,199100
"Wills Point, TX","place",16000US4879564,34141,34561,36797,38380,75100,72800,75800,73300
"Wilmer, TX","place",16000US4879576,38988,37833,33472,37546,52900,70900,61600,55300
"Wilson, TX","place",16000US4879612,37083,36667,36354,36818,46500,44000,40700,47700
"Wimberley, TX","place",16000US4879624,54423,55795,59167,68359,227700,225000,214600,264800
"Windcrest, TX","place",16000US4879672,67543,75129,75310,75972,161100,164600,166400,171800
"Windemere, TX","place",16000US4879676,55500,57679,,,,,,
"Windom, TX","place",16000US4879684,34375,45625,,29167,59500,76900,72900,72100
"Windthorst, TX","place",16000US4879696,47500,53750,52857,45357,91000,112500,117100,106900
"Winfield, TX","place",16000US4879720,34318,33889,34125,35417,55700,54300,85000,83000
